NAV_IDENT	TYPE	CTRY	NAV_KEY_CD	STATE_PROV	NAME	ICAO	WAC	FREQ	USAGE_CD	CHAN	RCC	FREQ_PROT	POWER	NAV_RANGE	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	SLAVED_VAR	MAG_VAR	ELEV	DME_WGS_LAT	DME_WGS_DLAT	DME_WGS_LONG	DME_WGS_DLONG	DME_ELEV	ARPT_ICAO	OS	CYCLE_DATE
PTL	5	BR	1		PETROLINA	SB	1067	345000K	B		H		200	27	WGE	WGE	S09220360	-9.367667	W040340300	-40.567500		W022221 0106	01396					U	SBPL	I	200204
PTM	5	AR	1		PERITO MORENO	SA	1585	335000K	B		HH		U	232	WGE	WGE	S46321100	-46.536389	W070591000	-70.986111		E010474 0106	01411					U	SAWP	I	200205
PTN	4	BM	1		PATHEIN	VY	0676	115600M	B	103X	HA		U	180	WGE	WGE	N16485260	16.814611	E094463600	94.776667	E00000798	W000484 0106	00020					U	VYPN	I	200306
PTN	5	BM	1		PATHEIN	VY	0676	415000K	B		H		U	50	WGE	WGE	N16480460	16.801278	E094464800	94.780000		W000484 0106	U					U	VYPN	I	200306
PTN	5	EC	1		PORTOVIEJO	SE	0951	390000K	L		H		U	U	WGE	WGE	S01024600	-1.046111	W080280600	-80.468333		W000133 0106	00127					U	SEPV	I	200405
PTN	5	US	1	22	PATTERSON	KZ	0468	245000K	T		MH		U	U	WGE	WGE	N29425266	29.714628	W091201224	-91.336733		E001231 0106	00003					U	PTN	I	200308
PTP	5	BR	1		PONTA PORA	SB	1261	340000K	B		H		100	50	WGE	WGE	S22330060	-22.550167	W055422580	-55.707167		W014182 0106	02156					U	SBPP	I	200210
PTP	5	GP	1		POINTE A PITRE	TT	0649	385000K	B		MH		U	100	WGE	WGE	N16170100	16.283611	W061375140	-61.630944		W014261 0106	U					U	TFFR	I	200204
PTS	1	BR	1		PELOTAS	SB	1384	113300M	B		HA		U	205	WGE	WGE	S31430893	-31.719147	W052193856	-52.327378	W01200798	W013369 0806	00059					U	SBPK	I	200610
PTS	5	BR	1		PELOTAS	SB	1384	340000K	B		H		100	150	WGE	WGE	S31424860	-31.713500	W052195040	-52.330667		W013322 0106	00059					U	SBPK	I	200204
PTS	5	US	1	20	PITTSBURG	KZ	0360	365000K	T		MH		25	U	WGE	WGE	N37263289	37.442469	W094433563	-94.726564		E003083 0106	00918					U	PTS	I	200204
PTT	5	BR	1		TROMBETAS	SB	0947	205000K	L		H		200	100	WGE	WGE	S01291080	-1.486333	W056235220	-56.397833		W016272 0106	00287					U	SBTB	I	200204
PTT	5	US	1	20	PRATT	KZ	0360	356000K	T		MH		25	U	WGE	WGE	N37432606	37.723906	W098444933	-98.747036		E005515 0106	01985					U	PTT	I	200204
PTV	1	FR	1		PITHIVIERS	LF	0230	116500M	B		HA	040/50	50	50	WGE	WGE	N48092000	48.155556	E002155320	2.264778	W00300798	W001023 0106	00424					U		I	200606
PTW	2	US	1	42	POTTSTOWN	KZ	0310	116500M	B	112X	L		U	U	WGE	WGE	N40132016	40.222267	W075333696	-75.560267	W00900288	W012038 0106	00290					U	PTW	I	200204
PTZ	5	EC	1		PASTAZA	SE	0951	340000K	T		HH		U	100	WGE	WGE	S01305842	-1.516228	W078023582	-78.043283		W001439 0106	03465					U	SESM	I	200409
PU	4	SN	1		PAPA UNIFORM	WS	0860	115100M	B	098X	HA		U	200	WGE	WGE	N01252399	1.423331	E103555974	103.933261	E00001104	E000149 0106	00190					U	WSAP	I	200413
PU	5	CH	1		DONGYANGJIAO	ZY	0290	296000K	B		H		50	50	WGE	WGE	N41302400	41.506667	E123173600	123.293333		W008252 0106	U					U	ZYTX	I	200605
PU	5	RS	1		PULKOVO	UL	0153	303000K	T		H		U	80	U	WGE	N59491800	59.821667	E030103000	30.175000		E008577 0106	U					U	ULLI	I	200606
PU	5	SF	1		PIETERMARITZBURG	FA	1398	407000K	B		H		100	U	WGE	WGE	S29394060	-29.661278	E030243516	30.409767		W023234 0106	02425					U	FAPM	I	200405
PU	5	TH	1		PHUKET	VT	0799	360000K	B		H		U	U	WGE	WGE	N08060598	8.101661	E098182241	98.306225		W000351 0106	00082					U	VTSP	I	200204
PU	5	US	1	08	MERTZ	KZ	0361	302000K	T		H		U	U	WGE	WGE	N38170200	38.283889	W104384897	-104.646936		E009170 0106	U					U	KPUB	I	200204
PUB	2	US	1	08	PUEBLO	KZ	0361	116700M	B	114X	HA		U	U	WGE	WGE	N38173931	38.294252	W104254599	-104.429442	E01300165	E009102 0106	04760					U	1V6	I	200204
PUC	4	US	1	49	CARBON	KZ	0362	115500M	L	102X	HA		U	U	WGE	WGE	N39361149	39.603192	W110451270	-110.753528	E01400185	E012060 0806	05830					U	PUC	I	200610
PUD	4	CH	1		PUDONG	ZS	0492	116900M	B	116X	HA		U	U	WGE	WGE	N31100600	31.168333	E121464800	121.780000		W005184 0306	00013					U	ZSPD	I	200605
PUF	5	US	1	19	PUFF	KZ	0307	345000K	T		MH		U	U	WGE	WGE	N43210550	43.351528	W094441602	-94.737783		E002380 0806	01300					U		I	200610
PUL	4	HR	1		PULA	LD	0252	111250M	B	049Y	HA		U	100	WGE	WGE	N44533252	44.892367	E013550526	13.918128	E00000798	E002082 0106	00189					U	LDPL	I	200204
PUL	4	PE	1		PUCALLPA	SP	1072	116700M	B	114X	HA		50	150	WGE	WGE	S08223300	-8.375833	W074342000	-74.572222	W00100798	W002428 0106	00537					U	SPCL	I	200211
PUN	4	IN	1		PUNE	VA	0673	113900M	B	086X	L		U	U	WGE	WGE	N18344709	18.579747	E073545102	73.914172	W00101104	W000568 0106	01942					U	VAPO	I	200413
PUR	5	US	1	29	MARSHALL	KZ	0360	371000K	T		MH		U	U	WGE	WGE	N39023106	39.041961	W093114446	-93.195683		E001531 0106	00779					U	MHL	I	200204
PUT	4	TH	1		PHUKET	VT	0799	116900M	B	116X	HA		50	50	WGE	WGE	N08065483	8.115231	E098182269	98.306303	E00000798	W000351 0106	00055					U	VTSP	I	200204
PUT	4	US	2	09	PUTNAM	KZ	0310	117400M	B	121X	HA		U	U	WGE	WGE	N41571965	41.955458	W071503876	-71.844100	W01400188	W014496 0106	00650					U	3B0	I	200212
PUU	5	US	1	04	PULLIAM	KF	0405	379000K	T		MH		49	25	WGE	WGE	N35083075	35.141874	W111401458	-111.670716		E011419 0106	06994					U	KFLG	I	200204
PUW	4	US	1	53	PULLMAN	KZ	0269	109000M	L	027X	L		U	U	WGE	WGE	N46402748	46.674301	W117132462	-117.223505	E02000175	E016056 0106	02720					U	PUW	I	200204
PV	5	TK	1		PROVIDENCIALES	KZ	0585	387000K	B		H		U	U	WGE	WGE	N21463978	21.777717	W072153802	-72.260561		W009450 0106	00015					U	MBPV	I	200405
PV	5	US	1	44	RENCH	KZ	0310	335000K	T		MH		U	U	WGE	WGE	N41383036	41.641767	W071294086	-71.494683		W014540 0106	U					U	KPVD	I	200204
PV	5	US	2	34	NAADA	KZ	0357	336000K	T		MH		U	U	WGE	WGE	N39295328	39.498133	W074402099	-74.672497		W012240 0106	00054					U	KACY	I	200204
PVB	5	US	1	55	PLATTEVILLE	KZ	0308	203000K	T		MH		25	U	WGE	WGE	N42411698	42.688050	W090261146	-90.436517		W000509 0106	01020					U	PVB	I	200204
PVC	5	US	1	25	PROVINCETOWN	KZ	0310	389000K	T		MH		25	U	WGE	WGE	N42040802	42.068894	W070132484	-70.223567		W015404 0106	00043					U	PVC	I	200204
PVD	2	US	1	44	PROVIDENCE	KZ	0310	115600M	B	103X	HA		U	U	WGE	WGE	N41432764	41.724344	W071254670	-71.429639	W01400188	W014577 0106	00049					U	KPVD	I	200204
PVG	5	US	1	51	PORTSMOUTH	KZ	0357	241000K	T		MH		25	U	WGE	WGE	N36464854	36.780149	W076264381	-76.445501		W010293 0106	00023					U	PVG	I	200204
PVH	4	BR	1		PORTO VELHO	SB	1071	112700M	B	074X	HA		U	200	WGE	WGE	S08425040	-8.714000	W063541200	-63.903333	W00900798	W010543 0106	00290					U	SBPV	O	200506
PVH	5	BR	1		PORTO VELHO	SB	1071	385000K	B		H		U	50	WGE	WGE	S08422760	-8.707667	W063535400	-63.898333		W010546 0106	00290					U	SBPV	I	200513
PVJ	5	US	1	40	PAULS VALLEY	KZ	0407	384000K	L		MH		U	U	WGE	WGE	N34425549	34.715414	W097134408	-97.228911		E004543 0106	00960					U	PVJ	I	200604
PVN	4	TK	1		PROVIDENCIALES	MB	0585	115600M	B	103X	HA		U	U	WGE	WGE	N21461996	21.772211	W072155767	-72.266019	W00900195	W009447 0106	00054					U	MBPV	I	200307
PVO	4	FI	1		PORVOO	EF	0103	112800M	R	075X	HA		U	U	WGE	WGE	N60173976	60.294378	E025351852	25.588478	E00500798	E007237 0106	00121					U	EFHF	I	200406
PVQ	5	US	1	02	PUT RIVER	PA	0063	376000K	B		H		260	U	WGE	WGE	N70132162	70.222672	W148245828	-148.416189		E024281 0306	U					U	PASC	I	200605
PVR	4	MX	1		VALLARTA	MM	0590	116600M	B	113X	HA		200	U	WGE	WGE	N20402314	20.673094	W105152699	-105.257497	E00900697	E008028 0106	00023					U	MMPR	I	200605
PVR	5	BL	1		EL PORVENIR	SL	1259	430000K	L		H		100	50	PRP	WGE	S20451277	-20.753546	W063120616	-63.201711		W008416 0106	U					U	SLEN	I	200506
PVU	4	US	1	49	PROVO	KZ	0305	108400M	L	021X	T		U	U	WGE	WGE	N40125377	40.214936	W111431675	-111.721319	E01500180	E012396 0106	04493					U	PVU	I	200602
PVW	4	US	1	48	PLAINVIEW	KZ	0406	112900M	L	076X	L		U	U	WGE	WGE	N34051029	34.086192	W101472467	-101.790186	E01101288	E007295 0106	03400					U	PVW	I	200204
PW	5	ID	1		PURWAKARTA	WI	0982	250000K	B		H		U	U	WGE	WGE	S06340000	-6.566667	E107270000	107.450000		E000498 0106	U					U		I	200109
PW	5	KZ	1		PAVLODAR	UA	0162	440000K	B		H		U	U	U	WGE	N52134060	52.227944	E077072528	77.123689		E008559 0106	U					U	UASP	I	200408
PW	5	LO	1		TATRY	LZ	0232	418000K	T		HH		U	40	WGE	WGE	N49044841	49.080114	E020042113	20.072536		E003438 0106	U					U	LZTT	I	200204
PW	5	RS	1		SOKOL	UH	0281	260000K	B		HH		U	80	U	WGE	N47160000	47.266667	E142460000	142.766667		W010169 0106	U					U		I	199902
PW	5	RS	2		SYKTYVKAR	UU	0101	345000K	T		H		U	80	U	WGE	N61361800	61.605000	E050483000	50.808333		E016167 0506	U					U	UUYY	I	200608
PW	5	SF	1		PHALABORWA	FA	1276	272000K	B		H		50	100	WGE	WGE	S23550256	-23.917378	E031091421	31.153947		W015402 0106	U					U	FAPH	I	200506
PW	5	UK	1		PRESTWICK	EG	0171	426000K	T		MH		U	30	WGE	WGE	N55323967	55.544353	W004405359	-4.681553		W004554 0106	U					U	EGPK	I	200204
PW	5	UP	1		PAVLIVKA	UK	0249	815000K	B		HH		U	U	PUK	WGE	N47445337	47.748158	E037132422	37.223394		E006458 0306	U					U		I	200605
PW	5	US	1	23	ORHAM	KZ	0310	394000K	T		MH		U	U	WGE	WGE	N43390855	43.652375	W070262747	-70.440964		W016089 0106	U					U	KPWM	I	200204
PWA	4	US	1	40	WILEY POST	KZ	0407	113400M	L	081X	T		U	U	WGE	WGE	N35315860	35.532945	W097384985	-97.647181	E00800180	E005096 0106	01270					U	PWA	I	200604
PWC	5	US	1	27	PINE RIVER	KZ	0266	330000K	L		MH		25	U	WGE	WGE	N46433740	46.727056	W094230430	-94.384528		E002008 0106	01292					U		I	200302
PWD	5	US	1	30	PLENTYWOOD	KZ	0218	251000K	L		MH		25	U	WGE	WGE	N48472410	48.790028	W104313784	-104.527178		E010174 0106	U					U		I	200303
PWE	2	US	1	31	PAWNEE CITY	KZ	0307	112400M	B	071X	HA		U	U	WGE	WGE	N40120127	40.200353	W096122261	-96.206281	E00500894	E004042 0106	01360					U	BIE	I	200204
PWF	5	US	1	39	SPORTYS	KZ	0358	245000K	T		MH		25	U	WGE	WGE	N39043612	39.076700	W084125547	-84.215408		W005196 0106	00849					U	I69	I	200204
PWL	4	CI	1		PUERTO WILLIAMS	SC	1668	114900M	B	096X	HA		U	U	WGE	WGE	S54554500	-54.929167	W067371200	-67.620000	E01300798	E012463 0106	00088					U	SCGZ	I	200304
PWL	4	US	1	36	PAWLING	KZ	0310	114300M	L	090X	L		U	40	WGE	WGE	N41461118	41.769771	W073360199	-73.600551	W01200192	W013470 0106	01250					U	20N	I	200306
PWT	5	US	1	53	KITSAP	KP	0269	206000K	L		MH		U	U	WGE	WGE	N47293230	47.492306	W122452373	-122.756592		E017432 0106	00492					U	KPWT	I	200412
PX	5	RS	1		PERM	US	0156	705000K	T		H		U	80	U	WGE	N57570000	57.950000	E056052400	56.090000		E014297 0106	U					U	USPP	I	200608
PXM	4	MX	1		ESCONDIDO	MM	0711	112500M	B	072X	HA		50	U	WGE	WGE	N15523038	15.875106	W097045417	-97.081714	E00700997	E005238 0106	00294					U	MMPS	I	200503
PXN	2	US	1	06	PANOCHE	KZ	0363	112600M	L	073X	L		25	25	WGE	WGE	N36425565	36.715458	W120464326	-120.778683	E01600170	E014129 0106	02060					U	LSN	I	200204
PXR	2	US	1	04	PHOENIX	KZ	0405	115600M	B	103X	HA		U	100	WGE	WGE	N33255886	33.433017	W111581272	-111.970200	E01200190	E011295 0106	01182					U	P18	I	200204
PXT	2	US	1	24	PATUXENT	KZ	0357	117600M	B	123X	L		U	U	WGE	WGE	N38171625	38.287847	W076240081	-76.400225	W01000188	W010561 0106	00020					U	KNHK	I	200309
PXV	2	US	1	18	POCKET CITY	KZ	0359	113300M	B	080X	HA		U	U	WGE	WGE	N37554195	37.928319	W087454458	-87.762383	E00300188	W002168 0506	00430					U	KEVV	I	200607
PY	4	PP	1		PORT MORESBY	AY	1096	117000M	B	117X	T		U	25	WGE	WGE	S09271066	-9.452961	E147125433	147.215092	E00600798	E006223 0106	00526					U	AYPY	I	200204
PY	5	CA	1		FORT CHIPEWYAN	CZ	0140	207000K	B		H		U	U	WGE	WGE	N58454200	58.761667	W111063200	-111.108889		E017122 0106	00761					U	CYPY	I	200205
PY	5	CO	1		APIAY	SK	0828	250000K	T		H		50	50	WGE	WGE	N04042872	4.074644	W073323104	-73.541956		W005543 0106	U					U	SKAP	I	200204
PY	5	CW	1		PENRHYN	NZ	1087	400000K	B		H		U	110	WGE	WGE	S08593900	-8.994167	W158023780	-158.043833		E010251 0106	U					U		I	200207
PY	5	PP	1		PORT MORESBY	AY	1096	368000K	B		MH		45	40	WGE	WGE	S09273978	-9.461050	E147135716	147.232544		E006226 0106	00146					U	AYPY	I	200204
PY	5	SF	1		PLETTENBERG BAY	FA	1422	277500K	B		H		100	U	WGE	WGE	S34052579	-34.090497	E023193349	23.325969		W025464 0106	00443					U	FAPG	I	200204
PY	5	UK	1		PLYMOUTH	EG	0229	396500K	T		MH		U	20	WGE	WGE	N50252772	50.424367	W004064440	-4.112333		W003370 0106	U					U	EGHD	I	200204
PYA	5	US	1	36	PENN YAN	KZ	0309	260000K	L		MH		25	25	WGE	WGE	N42383833	42.643981	W077032210	-77.056139		W011517 0106	00977					U	PEO	I	200204
PYC	5	US	1	02	PITSAND	PA	0063	290000K	T		MH		U	U	WGE	WGE	N70194094	70.328039	W149380720	-149.635333		E024002 0106	00067					U	PAKU	I	200204
PYE	2	US	1	06	POINT REYES	KZ	0364	113700M	B	084X	HA		U	U	WGE	WGE	N38044712	38.079757	W122520418	-122.867828	E01700165	E014540 0106	01340					U		I	199809
PYG	5	US	1	45	PAGELAND	KZ	0409	270000K	T		MH		25	U	WGE	WGE	N34444186	34.744961	W080201713	-80.338092		W007169 0106	00569					U	PYG	I	200204
PYX	5	US	1	48	PERRYTON	KZ	0361	266000K	T		MH		25	U	WGE	WGE	N36244440	36.412333	W100445297	-100.748047		E007024 0106	U					U	PYX	I	200204
PZ	5	RS	1		NADYM	US	0094	485000K	B		HH		U	80	U	WGE	N65284900	65.480278	E072421200	72.703333		E020544 0106	U					U		I	200007
PZ	5	SF	1		PIETERMARITZBURG	FA	1398	257000K	B		H		100	U	WGE	WGE	S29422028	-29.705633	E030265806	30.449461		W023283 0106	U					U	FAPM	I	200405
PZ	5	SI	1		PORTOROZ	LJ	0252	388000K	R		MH		U	25	WGE	WGE	N45283887	45.477464	E013365372	13.614922		E002053 0106	00010					U	LJPZ	I	200406
PZA	1	PE	1		PUERTO ESPERANZA	SP	1072	113900M	L		HA		U	U	WGE	WGE	S09460869	-9.769081	W070421819	-70.705053		W005223 0106	00800					U	SPEP	I	200211
PZA	4	NU	1		PUERTO CABEZAS	MH	0709	112900M	B	076X	HA		U	U	WGE	WGE	N14024275	14.045208	W083231781	-83.388281		W001191 0106	00069					U	MNPC	I	200610
PZA	5	PE	1		PUERTO ESPERANZA	SP	1072	300000K	L		H		50	U	WGE	WGE	S09451800	-9.755000	W070441800	-70.738333		W005209 0106	U					U	SPEP	I	200211
PZD	2	US	1	13	PECAN	KZ	0467	116100M	B	108X	HA		U	U	WGE	WGE	N31391882	31.655227	W084173518	-84.293106	W00200188	W003470 0106	00280					U	KABY	I	200608
PZQ	5	US	1	26	ROGERS CITY	KZ	0264	215000K	T		MH		25	U	WGE	WGE	N45241705	45.404736	W083491299	-83.820275		W007258 0106	00665					U	PZQ	I	200204
Q1	5	CA	1		TADOULE LAKE	CZ	0141	389000K	L		MH		U	U	WGE	WGE	N58423515	58.709764	W098301783	-98.504953		E004212 0106	00929					U	CYBQ	I	200505
Q5	5	CA	1		GRANDE CACHE	CY	0185	300000K	L		MH		U	U	WGE	WGE	N53550500	53.918056	W118520500	-118.868056		E019077 0106	04117					U	CEQ5	I	200205
Q5	9	CA	1		GRANDE CACHE	CY	0185		L	045X	T		U	U	WGE	WGE	N53550300	53.917500	W118525000	-118.880556		E019079 0106	04145					U	CEQ5	I	200212
QA	5	JO	1		QUEEN ALIA	OJ	0446	410000K	B		HH		U	U	WGE	WGE	N31434996	31.730544	E036054049	36.094581		E003417 0106	U					U	OJAI	I	200205
QA	5	RS	1		EKIMCHAN	UH	0197	680000K	B		HH		U	80	U	WGE	N53080000	53.133333	E132490000	132.816667		W013115 0106	U					U		I	199903
QA	9	GL	1		UUMMANNAQ	BG	0057		T	038Y	T		U	U	WGE	WGE	N70435690	70.732472	W052414623	-52.696175		W039131 0106	00172					U	BGUQ	I	200401
QAA	4	JO	1		QUEEN ALIA	OJ	0446	115200M	B	099X	HA		U	U	WGE	WGE	N31442715	31.740875	E036092902	36.158061		E003418 0106	02730					U	OJAI	I	200311
QB	5	CA	1		QUEBEC	CZ	0263	230000K	B		H		U	U	WGE	WGE	N46445913	46.749758	W071274537	-71.462603		W016565 0106	00243					U	CYQB	I	200204
QB	5	CH	1		HUNSHUITANG	ZP	0496	443000K	B		H		50	50	WGE	WGE	N25063000	25.108333	E102560000	102.933333		W001146 0306	U					U	ZPPP	I	200605
QD	5	CA	1		THE PAS	CZ	0183	284000K	B		H		U	U	WGE	WGE	N53584300	53.978611	W101045100	-101.080833		E007439 0106	00889					U	CYQD	I	200205
QD	5	CH	1		HEIHE	ZY	0203	578000K	B		H		U	U	WGE	WGE	N50060000	50.100000	E127200600	127.335000		W011468 0106	U					U		I	200605
QD	5	RS	1		VLADIVOSTOK	UH	0291	400000K	T		H		U	80	U	WGE	N43220000	43.366667	E132040600	132.068333		W010006 0106	U					U	UHWW	I	200609
QD	5	RS	2		PETROZAVODSK	UL	0102	340000K	T		H		U	80	U	WGE	N61562400	61.940000	E034122400	34.206667		E011174 0106	U					U	ULPB	I	200608
QD	5	RS	4		OREL	UU	0167	605000K	T		HH		U	81	U	WGE	N52590000	52.983333	E036060000	36.100000		E008134 0106	U					U		I	200313
QDI	5	AS	1		QUIRINDI	YB	1357	386000K	B		MH		U	40	WGE	WGE	S31293419	-31.492831	E150312563	150.523786		E011362 0106	U					U	YQDI	I	200210
QET	4	MX	1		QUERETARO	MM	0589	113000M	B	077X	HA		100	U	WGE	WGE	N20370285	20.617458	W100113705	-100.193625		E006231 0106	06296					U	MMQT	I	200508
QF	5	RS	1		TYUMEN	US	0156	315000K	T		H		U	80	U	WGE	N57124800	57.213333	E065220600	65.368333		E014128 0506	U					U	USTR	I	200607
QG	5	CA	1		WINDSOR	CZ	0309	353000K	B		MH		U	U	WGE	WGE	N42184612	42.312811	W082520663	-82.868508		W007163 0106	U					U	CYQG	I	200204
QH	5	CA	1		WATSON LAKE	CZ	0116	248000K	B		H		U	U	WGE	WGE	N60103700	60.176944	W128504500	-128.845833		E024017 0106	U					U	CYQH	I	200205
QH	5	RS	1		PECHORA	UU	0093	330000K	T		H		U	80	U	WGE	N65071800	65.121667	E057074799	57.129997		E020206 0106	U					U		I	200608
QHA	4	ET	1		MAKALE	HA	0688	116600M	B	113X	HA		100	200	WGE	WGE	N13282198	13.472772	E039312909	39.524747		E002036 0106	07403					U	HAMK	I	200610
QI	5	CA	1		YARMOUTH	CZ	0311	206000K	B		H		U	U	WGE	WGE	N43473607	43.793353	W066073399	-66.126108		W017536 0106	00141					U	CYQI	I	200204
QI	5	CH	1		JINGNING	ZL	0384	162000K	B		HH		U	U	WGE	WGE	N35312400	35.523333	E105423600	105.710000		W002303 0106	U					U		I	200605
QI	5	RS	1		TROITSKOYE	UH	0204	335000K	B		HH		U	80	U	WGE	N49270000	49.450000	E136340000	136.566667		W011526 0106	U					U		I	199813
QIT	4	EC	1		CONDORCOCHA	SE	0951	115300M	B	100X	HA		U	U	WGE	WGE	S00021900	-0.038611	W078304100	-78.511389	E00000798	W001429 0106	11778					U	SEQU	I	200408
QJ	5	CH	2		SHENZHEN	ZG	0614	253000K	B		H		50	50	WGE	WGE	N22474200	22.795000	E113434800	113.730000		W002171 0106	U					U	ZGSZ	I	200605
QJG	4	CH	1		QIJIANG	ZP	0495	112700M	B	074X	HA		U	U	WGE	WGE	N29024800	29.046667	E106391200	106.653333		W002044 0106	01012					U		I	200605
QK	1	KZ	1		KAUKEY	UA	0246	113600M	B		HA		U	U	U	WGE	N45160000	45.266667	E061460000	61.766667	E00600798	E007071 0106	U					U		O	200007
QK	5	CH	1		GENGMA	ZP	0556	322000K	B		H		U	U	WGE	WGE	N23320000	23.533333	E099240000	99.400000		W000517 0106	03760					U		I	200605
QL	5	CA	1		LETHBRIDGE	CZ	0217	248000K	L		MH		U	U	WGE	WGE	N49361900	49.605278	W112533800	-112.893889		E015180 0106	U					U	CYQL	I	200205
QL	5	JO	1		QUEEN ALIA (LOCATOR)	OJ	0446	307000K	T		H		U	U	WGE	WGE	N31440700	31.735278	E036013700	36.026944		E003416 0106	02393					U		I	200103
QL	5	MZ	1		QUELIMANE	FQ	1175	267000K	B		H		50	150	ARF	WGE	S17491617	-17.821158	E036520047	36.866797		W009575 0106	U					U	FQQL	I	200205
QL	5	RS	1		ALGASOVO	UU	0166	694000K	B		HH		U	80	U	WGE	N53410000	53.683333	E041410000	41.683333		E009413 0106	U					U		I	200007
QL	5	VM	1		CAMAU	VV	0739	305000K	B		H		50	50	WGE	WGE	N09103400	9.176111	E105103600	105.176667		W000067 0106	U					U	VVCM	I	200607
QM	5	BO	1		MACHULISHCHI	UM	0168	458000K	T		H		U	U	U	WGE	N53491200	53.820000	E027331200	27.553333		E006220 0106	U					U		I	200313
QM	5	CA	1		MONCTON	CZ	0262	224000K	B		H		U	U	WGE	WGE	N46063600	46.110000	W064345465	-64.581847		W019143 0106	U					U	CYQM	I	200205
QM	5	CH	1		YANBU	ZG	0614	423000K	B		H		U	U	WGE	WGE	N23061200	23.103333	E113084800	113.146667		W002168 0306	U					U	ZGGG	I	200605
QM	5	RS	1		SHUMERLYA	UW	0166	215000K	B		HH		U	80	U	WGE	N55310000	55.516667	E046270000	46.450000		E011312 0106	U					U		I	199903
QMS	4	EC	1		MONJAS SUR	SE	0951	114800M	B	095X	HA		U	U	WGE	WGE	S00140800	-0.235556	W078284000	-78.477778	E00000100	W001418 0106	10032					U	SEQU	I	200311
QN	5	CA	1		NAKINA	CZ	0220	233000K	B		H		U	U	WGE	WGE	N50104820	50.180056	W086374502	-86.629172		W006332 0106	U					U	CYQN	I	200204
QN	9	GL	1		QAANAAQ	BG	0020		T	020Y	HA		U	U	WGE	WGE	N77291460	77.487389	W069222263	-69.372953		W057244 0106	00083					U	BGQQ	I	200401
QNX	4	CH	1		QIANXI	ZP	0496	113100M	B	078X	HA		U	U	WGE	WGE	N27023000	27.041667	E106014800	106.030000		W001463 0106	04140					U		I	200605
QO	5	RS	1		AKSINYINO	UU	0167	732000K	B		HH		U	80	U	WGE	N55090000	55.150000	E038172400	38.290000		E009345 0106	U					U		I	199813
QP	5	CH	1		ERTANG	ZG	0497	213000K	B		H		50	50	WGE	WGE	N24392400	24.656667	E110473600	110.793333		W002121 0306	U					U		I	200605
QPR	4	FR	1		QUIMPER	LF	0254	117800M	B	125X	HA	150/50	50	150	WGE	WGE	N47572620	47.957278	W004110500	-4.184722	W00500798	W003142 0106	00285					U	LFRQ	I	200606
QQ	5	BR	1		IGUACU	SB	1314	395000K	B		H		50	25	WGE	WGE	S25350300	-25.584167	W054300900	-54.502500		W014180 0106	U					U	SBFI	I	200204
QQ	5	BR	2		CRUZ	SB	1263	245000K	B		H		50	15	WGE	WGE	S22493026	-22.825072	W043400275	-43.667431		W021251 0106	U					U	SBSC	I	200401
QQ	5	CA	1		COMOX	CZ	0215	400000K	B		H		U	U	WGE	WGE	N49451400	49.753889	W124572900	-124.958056		E018540 0106	U					U	CYQQ	I	200602
QQ	5	GL	1		QAANAAQ	BG	0020	336000K	B		MH		25	U	WGE	WGE	N77284485	77.479125	W069193331	-69.325919		W057221 0106	U					U	BGQQ	I	200306
QQZ	4	IN	1		VADODARA	VA	0560	117300M	B	120X	HA		U	U	WGE	WGE	N22195820	22.332833	E073133050	73.225139	E00001104	W000188 0106	00123					U	VABO	I	200413
QR	5	CA	1		REGINA	CZ	0218	290000K	B		MH		U	U	WGE	WGE	N50221109	50.369747	W104342301	-104.573058		E010299 0106	U					U	CYQR	I	200204
QT	4	PK	1		QUETTA	OP	0441	114700M	B	094X	HA		U	U	WGE	WGE	N30174912	30.296978	E066532100	66.889167	E00000798	E001360 0106	05142					U	OPQT	I	200602
QT	5	CA	1		THUNDER BAY	CZ	0219	332000K	B		H		U	U	WGE	WGE	N48204808	48.346689	W089260126	-89.433683		W003046 0106	U					U	CYQT	I	200204
QT	5	GL	1		GODTHAB/NUUK	BG	0085	258000K	B		MH		U	20	WGE	WGE	N64203973	64.344369	W051345489	-51.581914		W031423 0106	U					U	BGGH	I	200503
QT	5	PK	1		QUETTA	OP	0441	348000K	T		MH		U	50	WGE	WGE	N30150000	30.250000	E066560000	66.933333		E001351 0106	05142					U	OPQT	I	200307
QT	5	RS	1		BELOKHOLUNITSKY	US	0155	630000K	B		HH		U	80	U	WGE	N58530000	58.883333	E050520000	50.866667		E014227 0106	U					U		I	199903
QTR	4	JO	1		QATRANEH	OJ	0446	112900M	B	076X	HA		U	U	WGE	WGE	N31145441	31.248447	E036033431	36.059531		E003386 0106	02627					U		I	200308
QU	5	CA	1		GRANDE PRAIRIE	CZ	0185	221000K	B		H		U	U	WGE	WGE	N55081600	55.137778	W118485100	-118.814167		E019376 0106	U					U	CYQU	I	200204
QUN	4	SA	1		QUNFIDAH	OE	0667	113300M	B	080X	HA		U	U	WGE	WGE	N19221100	19.369722	E041042900	41.074722	E00100798	E002265 0106	00120					U		I	200502
QV	5	CA	1		YORKTON	CZ	0218	385000K	B		MH		U	U	WGE	WGE	N51125805	51.216125	W102323072	-102.541867		E008584 0106	U					U	CYQV	I	200204
